,"docid","actualdate","earliestdate","firstpub","sales","recordid","OCLC","author","imprint","enumcron","title","birthdate","gender","nationality","othername","notes","path","recept","authsvols"
86,"uc2.ark+=13960=t25b01m57",1880,1880,,"notbest",,,"Brame, Charlotte M","Chicago;New York;Belford, Clarke & company;188-?",,"Repented at leisure",1836,"f","uk",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/25/b0/1m/57/ark+=13960=t25b01m57/uc2.ark+=13960=t25b01m57.json.bz2","vulgar",21
87,"wu.89097996409",1880,1880,,"notbest",,,"Libbey, Laura Jean","London;Milner;188-?",,"Little Rosebud's lovers, or, A cruel revenge",1862,"f","us",,"dime novelist","wu/pairtree_root/89/09/79/96/40/9/89097996409/wu.89097996409.json.bz2","vulgar",10
88,"njp.32101066919174",1889,1889,,"notbest",,,"Schubin, Ossip","Philadelphia;J. B. Lippincott company;1889.",,"Erlach court",1854,"f","austrian","Aloisia Kirchner",,"njp/pairtree_root/32/10/10/66/91/91/74/32101066919174/njp.32101066919174.json.bz2","vulgar",8
89,"mdp.39015059502669",1895,1895,,"notbest",,,"Read, Opie Percival","Chicago;Laird & Lee;c1896",,"My young master;",1852,"m","us",,,"mdp/pairtree_root/39/01/50/59/50/26/69/39015059502669/mdp.39015059502669.json.bz2","vulgar",61
90,"uc2.ark+=13960=t7mp4xh9z",1893,1893,,"notbest",,,"Ingram, J. Forsyth","Pietermaritzburg;W.H. Griffin;1893.",,"The story of a gold concession",1858,"m","uk",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/7m/p4/xh/9z/ark+=13960=t7mp4xh9z/uc2.ark+=13960=t7mp4xh9z.json.bz2","vulgar",1
91,"mdp.39015001797946",1895,1895,1895,"notbest",3912340,6663515,"Grahame, Kenneth","Chicago;Stone & Kimball;1895.",,"The golden age",1859,"m","uk",,,"mdp/pairtree_root/39/01/50/01/79/79/46/39015001797946/mdp.39015001797946.json.bz2","elite",36
92,"nyp.33433075767198",1896,1896,,"notbest",,,"Whishaw, Frederick","New York [etc.;Longmans, Green, and co.;1896.",,"A boyar of the Terrible;",1854,"m","uk",,,"nyp/pairtree_root/33/43/30/75/76/71/98/33433075767198/nyp.33433075767198.json.bz2","vulgar",8
93,"dul1.ark+=13960=t03x8jh3v",1894,1894,,"notbest",,,"Adderley, James Granville","New York;E. P. Dutton & co.;1894.",,"Stephen Remarx;",1861,"m","uk",,,"dul1/pairtree_root/ar/k+/=1/39/60/=t/03/x8/jh/3v/ark+=13960=t03x8jh3v/dul1.ark+=13960=t03x8jh3v.json.bz2","vulgar",3
94,"uc1.b3327365",1899,1899,1899,"notbest",7690627,2721217,"Merriman, Henry Seton","New York;Dodd, Mead & Co.;1900, c1899.",,"The isle of unrest",1862,"m","uk","Hugh Stowell Scott",,"uc1/pairtree_root/b3/32/73/65/b3327365/uc1.b3327365.json.bz2","elite",54
95,"uc2.ark+=13960=t9m32tr6b",1907,1890,1890,"notbest",,,"Sudermann, Hermann","London;J. Lane;New York;J. Lane company;1907.",,"Regina;",1857,"m","german",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/9m/32/tr/6b/ark+=13960=t9m32tr6b/uc2.ark+=13960=t9m32tr6b.json.bz2","vulgar",47
96,"uc2.ark+=13960=t0vq30t72",1895,1895,1895,"notbest",7687035,3025162,"Crackanthorpe, Hubert","London;Heinemann;1895.",,"Sentimental studies, and A set of village tales",1870,"m","uk",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/0v/q3/0t/72/ark+=13960=t0vq30t72/uc2.ark+=13960=t0vq30t72.json.bz2","elite",9
97,"uc1.b301202",1899,1899,,"notbest",,,"Lust, Adelina Cohnfeldt","Boston;New York;Houghton, Mifflin and Company;1899.",,"A tent of grace",1860,"f",,,,"uc1/pairtree_root/$b/30/12/02/$b301202/uc1.$b301202.json.bz2","vulgar",2
98,"mdp.39015073479282",1890,1890,,"notbest",,,"Henty, G. A","Chicago;G.M. Hill;189-?",,"St. George for England",1832,"m","uk",,,"mdp/pairtree_root/39/01/50/73/47/92/82/39015073479282/mdp.39015073479282.json.bz2","vulgar",600
99,"mdp.39015023133641",1895,1895,1895,"notbest",438888,421784,"D'Arcy, Ella","London;John Lane;1895.",,"Monochromes",1856,"f","uk",,,"mdp/pairtree_root/39/01/50/23/13/36/41/39015023133641/mdp.39015023133641.json.bz2","elite",3
100,"nyp.33433076067085",1893,1893,1893,"notbest",7922879,1191144,"King, Grace Elizabeth","New York;The Century co.;1893.",,"Balcony stories",1852,"f","us",,,"nyp/pairtree_root/33/43/30/76/06/70/85/33433076067085/nyp.33433076067085.json.bz2","elite",11
101,"njp.32101066458629",1898,1898,,"notbest",,,"Ellis, Edward Sylvester","London;New York;Cassell;1898.",,"Cowmen and rustlers",1840,"m","us",,,"njp/pairtree_root/32/10/10/66/45/86/29/32101066458629/njp.32101066458629.json.bz2","vulgar",103
102,"uc2.ark+=13960=t8w951q8r",1892,1892,1892,"notbest",,,"Birkmaier, Elizabeth G","San Francisco;The Clemens Pub. Co.;1892.",,"Poseidon's paradise",1847,"f","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/8w/95/1q/8r/ark+=13960=t8w951q8r/uc2.ark+=13960=t8w951q8r.json.bz2","vulgar",2
103,"uiuo.ark+=13960=t3xs60k95",1893,1893,1893,"notbest",8723056,20737272,"Allen, Grant","London;Chatto & Windus, Piccadilly;1893;(Guildford;Billing and Sons, printers)","v.1","The scallywag",1848,"m","ca",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/3x/s6/0k/95/ark+=13960=t3xs60k95/uiuo.ark+=13960=t3xs60k95.json.bz2","elite",60
104,"njp.32101074871284",1892,1892,,"notbest",,,"Linthicum, Richard","Denver, Colo.;W.F. Robinson;1892.",,"A book of Rocky Mountain tales",1859,"m","us",,,"njp/pairtree_root/32/10/10/74/87/12/84/32101074871284/njp.32101074871284.json.bz2","vulgar",1
105,"uc2.ark+=13960=t3tt4h41b",1898,1898,,"notbest",,,"Noble, Annette Lucile","Philadelphia;Presbyterian Board of Publication and Sabbath-School Work;1898.",,"The silent man's legacy",1844,"f","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/3t/t4/h4/1b/ark+=13960=t3tt4h41b/uc2.ark+=13960=t3tt4h41b.json.bz2","vulgar",11
106,"nyp.33433076021751",1897,1897,,"notbest",,,"Stephens, Robert Neilson","Boston;L.C. Page and company;c1897",,"An enemy to the king;",1867,"m","us",,,"nyp/pairtree_root/33/43/30/76/02/17/51/33433076021751/nyp.33433076021751.json.bz2","vulgar",28
107,"uiuo.ark+=13960=t4kk9x89j",1895,1895,,"notbest",,,"Robinson, F. W","London;Chatto & Windus ...;1895.",,"The woman in the dark",1830,"m","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/4k/k9/x8/9j/ark+=13960=t4kk9x89j/uiuo.ark+=13960=t4kk9x89j.json.bz2","vulgar",55
108,"uiuo.ark+=13960=t3rv0v43n",1893,1893,1893,"notbest",8723056,20737272,"Allen, Grant","London;Chatto & Windus, Piccadilly;1893;(Guildford;Billing and Sons, printers)","v.3","The scallywag",1848,"m","ca",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/3r/v0/v4/3n/ark+=13960=t3rv0v43n/uiuo.ark+=13960=t3rv0v43n.json.bz2","elite",60
109,"mdp.39015063541273",1895,1895,,"notbest",,,"Burnham, Clara Louise","Boston;New York;Houghton, Mifflin and company;1895.",,"The wise woman",1854,"f","us",,,"mdp/pairtree_root/39/01/50/63/54/12/73/39015063541273/mdp.39015063541273.json.bz2","vulgar",50
110,"nyp.33433074870829",1898,1898,,"notbest",,,"Hocking, Joseph","New York;Doubleday & McClure co.;1898.",,"Mistress Nancy Molesworth;",1860,"m","uk",,,"nyp/pairtree_root/33/43/30/74/87/08/29/33433074870829/nyp.33433074870829.json.bz2","vulgar",15
111,"nc01.ark+=13960=t6m04wk2w",1899,1899,1899,"notbest",,,"Banks, Charles Eugene","Chicago;Rand, McNally;1899",,"In Hampton Roads;",1852,"m","us",,,"nc01/pairtree_root/ar/k+/=1/39/60/=t/6m/04/wk/2w/ark+=13960=t6m04wk2w/nc01.ark+=13960=t6m04wk2w.json.bz2","vulgar",4
112,"njp.32101063606774",1895,1895,,"notbest",,,"Crockett, S. R","New York;London;Frederick A. Stokes Company;c1895.",,"Sweetheart travellers",1859,"m","uk",,,"njp/pairtree_root/32/10/10/63/60/67/74/32101063606774/njp.32101063606774.json.bz2","vulgar",146
113,"uc2.ark+=13960=t3513x89r",1891,1891,,"notbest",,,"Ward, E","New York;Macmillan and Co.;1891.",,"A pair of originals",0,,,,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/35/13/x8/9r/ark+=13960=t3513x89r/uc2.ark+=13960=t3513x89r.json.bz2","vulgar",2
114,"uc2.ark+=13960=t2p55gp79",1890,1890,,"notbest",,,"Bain, F. W","London;Percivial;1890.",,"Dmitri",1863,"m","uk",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/2p/55/gp/79/ark+=13960=t2p55gp79/uc2.ark+=13960=t2p55gp79.json.bz2","vulgar",83
115,"uc1.b3325538",1895,1895,1895,"notbest",6131725,13322230,"Mallock, W. H","London;Chapman & Hall;1895.","v. 1","The heart of life",1849,"m","uk",,,"uc1/pairtree_root/b3/32/55/38/b3325538/uc1.b3325538.json.bz2","elite",43
116,"loc.ark+=13960=t16m3cg8z",1893,1893,1893,"notbest",,,"Chittenden, L. E","New York;Richmond, Crosup & co.;1893.",,"An unknown heroine;",1824,"m","us",,,"loc/pairtree_root/ar/k+/=1/39/60/=t/16/m3/cg/8z/ark+=13960=t16m3cg8z/loc.ark+=13960=t16m3cg8z.json.bz2","vulgar",2
117,"mdp.39015016768288",1894,1894,1894,"notbest",513550,7311970,"Chopin, Kate","Boston;New York;Houghton, Mifflin and company;1894.",,"Bayou folk",1850,"f","us",,,"mdp/pairtree_root/39/01/50/16/76/82/88/39015016768288/mdp.39015016768288.json.bz2","elite",3
118,"uc1.$b471567",1898,1898,,"notbest",,,"Post, Helen (Wilmans)","Sea Breeze, Fla.;Freedom Publishing Co.;1898.",,"A search for freedom",1831,"f","us",,,"uc1/pairtree_root/$b/47/15/67/$b471567/uc1.$b471567.json.bz2","vulgar",2
119,"mdp.39015030995818",1897,1897,,"notbest",,,"Porter, Charlotte Endymion","Boston;Copeland & Day;1897.",,"Clever tales",1857,"f","us",,,"mdp/pairtree_root/39/01/50/30/99/58/18/39015030995818/mdp.39015030995818.json.bz2","vulgar",1
120,"yale.39002030972336",1900,1899,1899,"notbest",,,"Kennedy, Bart","Chicago;Herbert S. Stone & Company;1900.",,"A man adrift",1861,"m","uk",,"a little autobiographical, but ok","yale/pairtree_root/39/00/20/30/97/23/36/39002030972336/yale.39002030972336.json.bz2","vulgar",5
121,"nyp.33433082530647",1892,1892,,"notbest",,,"Finley, Martha","New York;Dodd Mead & company;c1892",,"Elsie at Viamede",1828,"f","us",,,"nyp/pairtree_root/33/43/30/82/53/06/47/33433082530647/nyp.33433082530647.json.bz2","vulgar",71
122,"mdp.39015063747904",1890,1890,,"notbest",,,"Wood, H. F","New York;J. W. Lovell company;1890",,"The night of the 3d ult",0,,,,,"mdp/pairtree_root/39/01/50/63/74/79/04/39015063747904/mdp.39015063747904.json.bz2","vulgar",2
123,"uc2.ark+=13960=t41r6ns5n",1893,1893,,"notbest",,,"Brown, William Horace","New York;Worthington company;1893 [c1892",,"A southern heritage",0,,,,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/41/r6/ns/5n/ark+=13960=t41r6ns5n/uc2.ark+=13960=t41r6ns5n.json.bz2","vulgar",2
124,"nyp.33433076073125",1896,1896,,"notbest",,,"Train, Elizabeth Phipps","Philadelphia;J.B. Lippincott company;1896.",,"A social highwayman",1856,"f","us",,,"nyp/pairtree_root/33/43/30/76/07/31/25/33433076073125/nyp.33433076073125.json.bz2","vulgar",8
125,"uc2.ark+=13960=t6xw4n10m",1895,1895,,"notbest",,,"Stables, Gordon","London;Jarrold and Sons;1895.",,"Shireen and her friends",1840,"m","uk",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/6x/w4/n1/0m/ark+=13960=t6xw4n10m/uc2.ark+=13960=t6xw4n10m.json.bz2","vulgar",21
126,"mdp.39015063547809",1895,1895,1895,"notbest",320371,2415313,"Hobbes, John Oliver","London;Henry;1895.",,"The gods, some mortals and Lord Wickenham",1867,"f","us","Pearl Mary Teresa Craigie",,"mdp/pairtree_root/39/01/50/63/54/78/09/39015063547809/mdp.39015063547809.json.bz2","elite",41
127,"uc1.b308297",1895,1895,,"notbest",,,"Freeman, Mary Eleanor Wilkins","New York;Chicago [etc.;Fleming H. Revell Company;1895.",,"Comfort Pease and her gold ring",1852,"f","us",,,"uc1/pairtree_root/$b/30/82/97/$b308297/uc1.$b308297.json.bz2","vulgar",83
128,"uc1.b4101375",1893,1893,1893,"notbest",,,"Burnand, F. C","London;Bradbury, Agnew, & co., ld.;1893.",,"The real adventures of Robinson Crusoe",1836,"m","uk",,,"uc1/pairtree_root/b4/10/13/75/b4101375/uc1.b4101375.json.bz2","vulgar",24
129,"wu.89099220006",1899,1899,,"notbest",,,"Taylor, Bayard","New York;Putnam;1899.",,"John Godfrey's fortunes",1825,"m","us",,,"wu/pairtree_root/89/09/92/20/00/6/89099220006/wu.89099220006.json.bz2","vulgar",27
130,"uc2.ark+=13960=t07w6779k",1891,1891,,"notbest",,,"Daniels, Cora Linn","Boston;Lee and Shepard;1891.",,"Sardia, a story of love",1852,"f","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/07/w6/77/9k/ark+=13960=t07w6779k/uc2.ark+=13960=t07w6779k.json.bz2","vulgar",1
131,"uc2.ark+=13960=t02z14r3d",1894,1894,,"notbest",,,"Schindler, Solomon","Boston;Arena Publishing Company;1894.",,"Young West;",1842,"m","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/02/z1/4r/3d/ark+=13960=t02z14r3d/uc2.ark+=13960=t02z14r3d.json.bz2","vulgar",3
132,"uc1.b248450",1900,1893,1893,"notbest",6501359,13298455,"Catherwood, Mary Hartwell","New York;The Century Co.;1900.",,"The white islander",1847,"f","us",,,"uc1/pairtree_root/$b/24/84/50/$b248450/uc1.$b248450.json.bz2","elite",35
133,"uva.x030826018",1894,1894,,"notbest",,,"Townsend, Virginia F","Boston;Lee and Shepard;c1894.",,"""Sirs, only seventeen!""",1836,"f","us",,,"uva/pairtree_root/x0/30/82/60/18/x030826018/uva.x030826018.json.bz2","vulgar",10
134,"uc2.ark+=13960=fk52f7k42g",1892,1892,,"notbest",,,"Watson, William","London;T. F. Unwin;1892.",,"The adventures of a blockade runner;",1826,"m","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=f/k5/2f/7k/42/g/ark+=13960=fk52f7k42g/uc2.ark+=13960=fk52f7k42g.json.bz2","vulgar",2
135,"uc2.ark+=13960=t6639nr4d",1899,1899,1899,"notbest",7679378,5632831,"Dowson, Ernest Christopher","London;Methuen;1899.",,"Adrian Rome",1867,"m","uk",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/66/39/nr/4d/ark+=13960=t6639nr4d/uc2.ark+=13960=t6639nr4d.json.bz2","elite",10
136,"nyp.33433075752133",1895,1895,,"notbest",,,"Winter, John Strange","New York and London;F. A. Stokes company;c1895",,"Private Tinker",1856,"f ","uk","Henrietta Eliza Vaughan Stannard",,"nyp/pairtree_root/33/43/30/75/75/21/33/33433075752133/nyp.33433075752133.json.bz2","vulgar",62
137,"nyp.33433076024532",1902,1902,,"notbest",,,"Luther, Mark Lee","New York;Macmillan;1902.",,"The henchman",1872,"m","us",,,"nyp/pairtree_root/33/43/30/76/02/45/32/33433076024532/nyp.33433076024532.json.bz2","vulgar",13
138,"uc2.ark+=13960=t4fn12c70",1901,1900,1900,"notbest",,,"Von Hutten, Bettina Riddle","Philadelphia;J.B. Lippincott;1901.",,"Marr'd in making",1874,"f","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/4f/n1/2c/70/ark+=13960=t4fn12c70/uc2.ark+=13960=t4fn12c70.json.bz2","vulgar",13
139,"uc2.ark+=13960=t03x84h2d",1902,1902,1902,"notbest",1027392,1817762,"Harte, Bret","Boston;Houghton-Mifflin;1902.",,"Openings in the old trail",1836,"m","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/03/x8/4h/2d/ark+=13960=t03x84h2d/uc2.ark+=13960=t03x84h2d.json.bz2","elite",474
140,"nyp.33433076074297",1900,1900,1900,"notbest",,,"Flynt, Josiah","New York;McClure, Phillips & co.;1900.",,"The powers that prey",1869,"m","us",,,"nyp/pairtree_root/33/43/30/76/07/42/97/33433076074297/nyp.33433076074297.json.bz2","vulgar",8
141,"uc2.ark+=13960=t8gf0ng5c",1903,1903,,"notbest",,,"Richards, Laura Elizabeth Howe","Boston;Little, Brown;1903.",,"The golden windows",1850,"f","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/8g/f0/ng/5c/ark+=13960=t8gf0ng5c/uc2.ark+=13960=t8gf0ng5c.json.bz2","vulgar",95
142,"mdp.39015063938164",1900,1900,,"notbest",,,"Matthews, Brander","New York;London;Harper & brothers;1900.",,"The action and the word;",1852,"m","us",,,"mdp/pairtree_root/39/01/50/63/93/81/64/39015063938164/mdp.39015063938164.json.bz2","vulgar",44
143,"wu.89006378830",1903,1903,,"notbest",,,"Mitchell, John Ames","New York;Life publishing company;1903.",,"The pines of Lory",1845,"m","us",,,"wu/pairtree_root/89/00/63/78/83/0/89006378830/wu.89006378830.json.bz2","vulgar",26
144,"uc1.b3579188",1902,1902,1902,"notbest",6678386,8873450,"Barlow, Jane","London;Methuen;1902.",,"The founding of fortunes",1857,"f","ir",,,"uc1/pairtree_root/b3/57/91/88/b3579188/uc1.b3579188.json.bz2","elite",25
145,"mdp.39015030855798",1908,1908,,"notbest",,,"Rex, Beach","New York;A. L. Burt co.;c1908",,"The barrier",1877,"m","us",,,"mdp/pairtree_root/39/01/50/30/85/57/98/39015030855798/mdp.39015030855798.json.bz2","vulgar",0
146,"nyp.33433076042153",1903,1903,1903,"notbest",8679572,10676351,"Trumbull, Annie Eliot","New York;A.S. Barnes and Company;1903.",,"Life's common way",1857,"f","us",,,"nyp/pairtree_root/33/43/30/76/04/21/53/33433076042153/nyp.33433076042153.json.bz2","elite",6
147,"uc2.ark+=13960=t3rv0fp5t",1907,1907,,"notbest",,,"Laughlin, Clara E","New York;C. Scribner's sons;1907.",,"Felicity",1873,"f","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/3r/v0/fp/5t/ark+=13960=t3rv0fp5t/uc2.ark+=13960=t3rv0fp5t.json.bz2","vulgar",28
148,"mdp.39015063511946",1909,1909,,"notbest",,,"Dejeans, Elizabeth","Philadelphia;London;J. B. Lippincott company;1909.",,"The winning chance",1873,"f","us",,,"mdp/pairtree_root/39/01/50/63/51/19/46/39015063511946/mdp.39015063511946.json.bz2","vulgar",17
149,"nyp.33433074859699",1902,1902,,"notbest",,,"Grier, Sydney C","Boston;L.C. Page & Company;1902.",,"The prince of the captivity",1868,"f","uk","Hilda Gregg",,"nyp/pairtree_root/33/43/30/74/85/96/99/33433074859699/nyp.33433074859699.json.bz2","vulgar",11
150,"inu.30000104239052",1907,1907,,"notbest",,,"Reddall, Henry Frederic","Philadelphia;G.W. Jacobs & co.;1907",,"Wit and humor of women;",1856,"m","us",,,"inu/pairtree_root/30/00/01/04/23/90/52/30000104239052/inu.30000104239052.json.bz2","vulgar",12
151,"nyp.33433074797519",1903,1903,,"notbest",,,"Brady, Cyrus Townsend","New York;and London;Harper & brothers;1903.",,"The bishop;",1861,"m","us",,,"nyp/pairtree_root/33/43/30/74/79/75/19/33433074797519/nyp.33433074797519.json.bz2","vulgar",115
152,"uc2.ark+=13960=t52f7sh9h",1907,1907,1907,"notbest",7695460,44023077,"Buckley, William","Dublin;Maunsel;1907.",,"Cambia Carty and other stories",,"m","ir",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/52/f7/sh/9h/ark+=13960=t52f7sh9h/uc2.ark+=13960=t52f7sh9h.json.bz2","elite",3
153,"nyp.33433082520788",1901,1901,,"notbest",,,"May, Sophie","Boston;Lothrop, Lee and Shepard;1901.",,"Little grandfather",1833,"f","us","Rebecca Sophia Clarke",,"nyp/pairtree_root/33/43/30/82/52/07/88/33433082520788/nyp.33433082520788.json.bz2","vulgar",17
154,"nyp.33433076049232",1900,1900,,"notbest",,,"Pidgin, Charles Felton","Boston;C.M. Clark;1900.",,"Quincy Adams Sawyer and Mason's corner folks;",1844,"m","us",,,"nyp/pairtree_root/33/43/30/76/04/92/32/33433076049232/nyp.33433076049232.json.bz2","vulgar",27
155,"nyp.33433076090970",1900,1900,1900,"notbest",,,"Freeman, Mary Eleanor Wilkins","New York;A. L. Burt Company;c1900.",,"The heart's highway",1852,"f","us",,,"nyp/pairtree_root/33/43/30/76/09/09/70/33433076090970/nyp.33433076090970.json.bz2","vulgar",83
156,"uc2.ark+=13960=t7cr5nx6g",1903,1903,,"notbest",,,"Smith, Arthur Cosslett","New York;Scribner;1903.",,"The turquoise cup",1852,"m","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/7c/r5/nx/6g/ark+=13960=t7cr5nx6g/uc2.ark+=13960=t7cr5nx6g.json.bz2","vulgar",4
157,"uc2.ark+=13960=t07w6824b",1902,1902,,"notbest",,,"Young, Martha","New York;Appleton;1916, c1902-1916.",,"Plantation bird legends;",1862,"f","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/07/w6/82/4b/ark+=13960=t07w6824b/uc2.ark+=13960=t07w6824b.json.bz2","vulgar",10
158,"uc2.ark+=13960=t14m91k99",1905,1905,1905,"notbest",7656815,4145884,"Davis, Norah","New York;Grosset & Dunlap;c1905",,"The northerner",1878,"f","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/14/m9/1k/99/ark+=13960=t14m91k99/uc2.ark+=13960=t14m91k99.json.bz2","elite",4
159,"coo.31924013218056",1908,1908,1908,"notbest",11405366,63958011,"Robins, Elizabeth","Leipzig;B. Tauchnitz;1908.","v.1","The convert",1862,"f","us",,,"coo/pairtree_root/31/92/40/13/21/80/56/31924013218056/coo.31924013218056.json.bz2","elite",23
160,"uc2.ark+=13960=t8jd4rr6g",1901,1901,1901,"notbest",7659799,5092322,"French, Allen","New York;Doubleday Page and co.;1903 [c1901",,"The colonials;",1870,"m","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/8j/d4/rr/6g/ark+=13960=t8jd4rr6g/uc2.ark+=13960=t8jd4rr6g.json.bz2","vulgar",11
161,"mdp.39015022391133",1902,1902,1902,"notbest",782024,3505402,"Somerville, E. Œ","London;New York [etc.;Longmans, Green, & co.;1902.",,"Some experiences of an Irish R. M",1858,"f","ir","Edith Somerville",,"mdp/pairtree_root/39/01/50/22/39/11/33/39015022391133/mdp.39015022391133.json.bz2","elite",41
162,"nyp.33433076048002",1907,1907,1907,"notbest",,,"Rives, Hallie","Indianapolis;The Bobbs-Merrill Company;1907",,"Satan Sanderson",1874,"f","us",,,"nyp/pairtree_root/33/43/30/76/04/80/02/33433076048002/nyp.33433076048002.json.bz2","vulgar",0
163,"nyp.33433076054059",1903,1903,,"notbest",,,"Owen, Rye","New York : Henry Holt and Company;1903.",,"Red-headed gill",,"m","us",,,"nyp/pairtree_root/33/43/30/76/05/40/59/33433076054059/nyp.33433076054059.json.bz2","vulgar",1
164,"uc2.ark+=13960=t21c1wq1g",1907,1907,,"notbest",,,"Davis, M. E. M","Boston;New York;Houghton, Mifflin and company;1907.",,"The price of silence",1852,"f","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/21/c1/wq/1g/ark+=13960=t21c1wq1g/uc2.ark+=13960=t21c1wq1g.json.bz2","vulgar",14
165,"uc2.ark+=13960=t4qj7cg1w",1901,1901,,"notbest",,,"Irvine, Leigh Hadley","London;T. Fisher Unwin;San Francisco, Calif.;Payot Upham & co.;1901.",,"An affair in the South seas; a story of romantic adventure",1863,"m","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/4q/j7/cg/1w/ark+=13960=t4qj7cg1w/uc2.ark+=13960=t4qj7cg1w.json.bz2","vulgar",2
166,"nyp.33433075861348",1903,1903,,"notbest",,,"Young, Florence Ethel Mills","London;J. Long;1903.",,"The triumph of Jill",1875,"f","uk",,,"nyp/pairtree_root/33/43/30/75/86/13/48/33433075861348/nyp.33433075861348.json.bz2","vulgar",3
167,"uc2.ark+=13960=t6h12wz10",1900,1900,,"notbest",,,"Chipman, William P","New York;A.L. Burt Co.;c1900.",,"A yankee lad's pluck",1854,"m","us",,"probably juvenile -- not yet removed","uc2/pairtree_root/ar/k+/=1/39/60/=t/6h/12/wz/10/ark+=13960=t6h12wz10/uc2.ark+=13960=t6h12wz10.json.bz2","vulgar",2
168,"nyp.33433076042989",1903,1903,,"notbest",,,"Meekins, Lynn Roby","Philadelphia;Lippincott;1903.",,"Adam Rush;",,"f","us",,,"nyp/pairtree_root/33/43/30/76/04/29/89/33433076042989/nyp.33433076042989.json.bz2","vulgar",5
169,"uc2.ark+=13960=t72v2dq8z",1905,1905,,"notbest",,,"Elliott, Maud Howe","Boston;Little, Brown, and Company;1905.",,"Two in Italy",1854,"f","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/72/v2/dq/8z/ark+=13960=t72v2dq8z/uc2.ark+=13960=t72v2dq8z.json.bz2","vulgar",12
170,"mdp.39015016441308",1902,1902,1902,"notbest",950797,999124,"Harris, Joel Chandler","New York;McClure, Phillips & Co.;c1902.",,"Gabriel Tolliver",1848,"m","us",,,"mdp/pairtree_root/39/01/50/16/44/13/08/39015016441308/mdp.39015016441308.json.bz2","elite",109
171,"uc2.ark+=13960=t1sf2nz58",1901,1901,1901,"notbest",7666640,8717825,"Marriott, Charles","London;New York;John Lane;1901.",,"The column",1869,"m","uk",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/1s/f2/nz/58/ark+=13960=t1sf2nz58/uc2.ark+=13960=t1sf2nz58.json.bz2","elite",17
172,"nyp.33433074915962",1902,1902,,"notbest",,,"Morehead, George","New York;J. S. Ogilvie;1902.",,"The story of Francois Villon",,,,,,"nyp/pairtree_root/33/43/30/74/91/59/62/33433074915962/nyp.33433074915962.json.bz2","vulgar",1
